name,URL,text,image_num,circle_position
とぱぞらい@金曜日南る45b,https://twitter.com/tpazolite/status/1475404981327261697,"【お知らせ】
コミケのお品書き、こちらになります。
お品書き内にも書いてありますが、全作品オンラインで入手可能なのでそちらもご利用ください…！ https://t.co/7kBmOkqgDH",C:/Users/kinok/Documents/C99/とぱぞらい@金曜日南る45b/oshinagaki49-1.jpg,error日目南る45b
name,URL,text,image_num,circle_position
ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a,https://twitter.com/nekopan00P/status/1473935036647079939,C99お品書き #ご注文はうさぎですか? #冬コミ #C99 #お品書き https://t.co/UxQiQKLvUL https://t.co/ZfEbUDVRqP,C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/ねこ☆ぱんC99 1日目 東ク-46bサンクリ2022WINTER Ａ04a/oshinagaki5-1.jpg,Not Found
K2_buccalcone@1日目南り-19b,https://twitter.com/K2_buccalcone/status/1476121261667680256,"C99お品書きです！
よろしくお願いします🙏
https://t.co/foBULO46fH https://t.co/kaGstf7tkw",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/K2_buccalcone@1日目南り-19b/oshinagaki7-1.jpg,2日目南り19b
たつのこ@西い29a,https://twitter.com/ManyGarrideb/status/1475845546674130951,"C99のお品書きはこちら！　新刊は「常世ノ神」。
既刊の「ムネモシュネの仮面」「DYNA」の2冊も持っていきまーす。当日は西い29a「メニィーガリデブ」にてお待ちしております！
#C99
#クトゥルフ神話TRPG https://t.co/cSTrh525r0",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/たつのこ@西い29a/oshinagaki14-1.jpg,Not Found
ふわふわ響＠C99木南り18b,https://twitter.com/huwahuwahibiki/status/1475447232946409477,"C99、1日目のお品書きです
たぶんミスとかがなければこれでいこうと思いますので、
よろしくお願いします https://t.co/SxxUFniLBU",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/ふわふわ響＠C99木南り18b/oshinagaki15-1.jpg,9日目南り18b
飴玉コンC99木曜日東A13a,https://twitter.com/amedamacon/status/1475754010745634818,"❄️12/30(木)コミックマーケット99
【A-13a】あめうさぎ
お品書き

新刊セット、新作グッズ作りました！
ごちうさ&amp;オリジナル

よろしくお願いします🌸　#C99 https://t.co/wwWqGHrnzN",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/飴玉コンC99木曜日東A13a/oshinagaki17-1.jpg,Not Found
cacao(かかお)@金曜日 東Ｇ－50a,https://twitter.com/cacao_0833/status/1476028521671979016,"12/31 東Ｇ－50a「Berry Sweet Time」のお品書きです。
よろしくお願いいたします。 https://t.co/4M7J6E17l5",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/cacao(かかお)@金曜日 東Ｇ－50a/oshinagaki18-1.jpg,Not Found
あるか@冬コミ1日目　南１り‐21b,https://twitter.com/alka_p1/status/1475098806790549506,"冬コミお品書きです！
新刊は委託もしているので会場に来れない方はぜひ！

メロンさん：https://t.co/nyZynfgjqr
虎さん：https://t.co/GG8g2jkLqL https://t.co/Ssh894c4T3",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/あるか@冬コミ1日目　南１り‐21b/oshinagaki24-1.jpg,1日目南り21b
月路1日目 南り-21a,https://twitter.com/AngelBless_TW/status/1474961838865776640,"冬コミのお品書きです。
30日 南り-21a でお待ちしています。 https://t.co/s9W9it9NFL",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/月路1日目 南り-21a/oshinagaki25-1.jpg,3日目南り21a
にょにょんば太郎@冬コミ１日目「南り-23a」,https://twitter.com/nyonyonba/status/1475049402368929798,"セットおしながき２
#C99 #お品書き #艦隊これくしょん https://t.co/cZaFpAyP5g",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/にょにょんば太郎@冬コミ１日目「南り-23a」/oshinagaki33-1.jpg,1日目南り23a
もずくにんC99 2日目東I02a🦭1日目東ク46b売り子サンクリA04a,https://twitter.com/mozuku0226/status/1476072433644089346,"冬コミのおしながきです！

配置スペースは
2日目 東I02a「ねこみみジャスティス」です。

よろしくお願いします！ 

#C99A https://t.co/Q7TlJFMC3J",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/もずくにんC99 2日目東I02a🦭1日目東ク46b売り子サンクリA04a/oshinagaki35-1.jpg,Not Found
ふぇありぃあい【1日目（木）東ク45ｂ】,https://twitter.com/koudasuzu/status/1474686004120281089,"C99おしながきですー(*'▽')
【12/30（1日目）】【東ク45ｂ】
チノちゃんとかうちの娘とか色々です！何卒よろしくお願いいたしますー！ https://t.co/MLeMogZPmf",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/ふぇありぃあい【1日目（木）東ク45ｂ】/oshinagaki36-1.jpg,Not Found
Azel@1日目東ノ-21b,https://twitter.com/laevateinn495/status/1475467927579394057,"遅くなりましたがC99のおしながきです！

イラスト集／相対性理論本の新刊2冊に加え、既刊の艦これ数学本も多少持っていきます。
当日来られる方はよろしくお願いします！ https://t.co/F1A2yrZZVC",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/Azel@1日目東ノ-21b/oshinagaki37-1.jpg,Not Found
武部長政 ＠コミケ1日目い02a『卓上戦術部』,https://twitter.com/John_Doe_666_/status/1476158332755116034,8億年ぶりにお品書きのような物を作る。 https://t.co/YToEnxcbzU,C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/武部長政 ＠コミケ1日目い02a『卓上戦術部』/oshinagaki42-1.jpg,Not Found
シロガネヒナC991日目る39b,https://twitter.com/milky175/status/1475025952141099009,"【C99 冬コミ】12/30 1日目 南る―39b【MILK BAR】お品書きです！

今回は混雑回避のために、新刊はセット頒布のみでスタートします。
どうぞよろしくお願いします🌟 https://t.co/Gi2xbzo6U0",C:/Users/Limit/OneDrive/ドキュメント/github_desktop/C99/シロガネヒナC991日目る39b/oshinagaki47-1.jpg,Not Found
